,title,genre,budget,runtime,year,month,revenue
885,Alexander,,155000000,175.0,2004,11,167298192
886,The Relic,Horror,60000000,110.0,1997,1,33956608
887,Asterix at the Olympic Games,Fantasy,97250400,116.0,2008,1,132900000
888,Goodbye Bafana,,30000000,140.0,2007,2,0
889,The Other Boleyn Girl,Drama,35000000,115.0,2008,2,0
890,The Musketeer,Action,40000000,104.0,2001,9,27053815
891,White Squall,Action,38000000,129.0,1996,2,10300000
892,Ghostbusters,Action,144000000,116.0,2016,7,229147509
893,Argo,Drama,44500000,120.0,2012,10,232324128
894,Rock Star,,57000000,105.0,2001,9,16991902
895,Cheaper by the Dozen,Comedy,40000000,98.0,2003,12,190212113
896,Howard the Duck,Comedy,37000000,110.0,1986,8,37962774
897,Sky High,Adventure,35000000,100.0,2005,7,86369815
898,Alvin and the Chipmunks,Comedy,60000000,92.0,2007,12,361366633
899,Ride Along 2,Action,40000000,102.0,2016,1,124827316
900,Sin City,Action,40000000,124.0,2005,4,158733820
901,Lord of War,Crime,42000000,122.0,2005,9,24127895
902,The Family Man,Comedy,60000000,125.0,2000,12,0
903,A Passage to India,Drama,8000000,163.0,1984,12,27187653
904,Highlander: The Final Dimension,Action,26000000,99.0,1994,11,36800000
905,Hero,Drama,31000000,99.0,2002,12,177394432
906,The Warrior's Way,Adventure,42000000,100.0,2010,12,11087569
907,Texas Rangers,Action,0,110.0,2001,11,0
908,Penguins of Madagascar,,132000000,92.0,2014,11,373552094
909,Paul Blart: Mall Cop 2,Action,38000000,94.0,2015,4,107597242
910,The Doors,Drama,38000000,140.0,1991,3,34416893
911,You've Got Mail,Comedy,65000000,119.0,1998,12,250821495
912,X-Men Origins: Wolverine,Adventure,150000000,107.0,2009,4,373062864
913,Escape Plan,Action,50000000,115.0,2013,10,122915111
914,8 Mile,Drama,41000000,110.0,2002,11,215000000
915,Pompeii,Action,130000000,105.0,2014,2,117831631
916,Role Models,Comedy,28000000,99.0,2008,2,92380927
917,Aliens in the Attic,Adventure,45000000,86.0,2009,7,57881056
918,Paddington,,55000000,95.0,2014,11,259207227
919,About a Boy,Drama,27000000,101.0,2002,4,129000000
920,The Tuxedo,Thriller,0,98.0,2002,9,0
921,The Hunger Games: Catching Fire,Adventure,130000000,146.0,2013,11,847423452
922,Lethal Weapon 3,Adventure,35000000,118.0,1992,5,321731527
923,Changing Lanes,Action,45000000,89.0,2002,4,94935764
924,At First Sight,Drama,0,128.0,1999,1,0
925,Final Destination 5,Horror,47000000,92.0,2011,8,157887643
926,Men in Black II,Action,140000000,88.0,2002,7,441818803
927,xXx: State of the Union,Action,60000000,101.0,2005,4,71073932
928,Practical Magic,Drama,75000000,104.0,1998,10,46683377
929,21 Jump Street,Action,42000000,109.0,2012,3,201585328
930,Chicken Run,Animation,45000000,84.0,2000,6,224834564
931,Ishtar,Action,55000000,107.0,1987,5,14375181
932,Child 44,Crime,50000000,137.0,2015,3,3324330
933,Pushing Tin,Comedy,33000000,124.0,1999,4,0
934,National Treasure,Adventure,100000000,131.0,2004,11,347451894
935,Striptease,Drama,50000000,115.0,1996,6,113309743
936,Thirteen Days,Drama,80000000,145.0,2000,12,34566746
937,We Were Soldiers,Action,75000000,138.0,2002,3,114660784
938,DragonHeart,Fantasy,57000000,103.0,1996,5,115267375
939,13 Going on 30,Comedy,37000000,98.0,2004,4,96455697
940,Traffic,Thriller,48000000,147.0,2000,12,207515725
941,Monsters University,Animation,200000000,104.0,2013,6,743559607
942,The Imaginarium of Doctor Parnassus,Adventure,30000000,123.0,2009,10,64352607
943,The Warlords,Action,40000000,126.0,2007,12,0
944,Mulan,Animation,90000000,88.0,1998,6,304320254
945,Scary Movie 2,Comedy,45000000,83.0,2001,7,141220678
946,Frost/Nixon,Drama,0,122.0,2008,10,0
947,Underworld: Evolution,Fantasy,50000000,106.0,2006,1,111340801
948,Imagine That,Comedy,55000000,107.0,2009,6,0
949,The Whole Ten Yards,Comedy,40000000,98.0,2004,4,26155781
950,Pirates of the Caribbean: At World's End,adventure,300000000,169.0,2007,5,961000000
951,The Benchwarmers,Comedy,0,80.0,2006,4,0
952,Shall We Dance?,Drama,50000000,107.0,2004,10,170128460
953,Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy,85000000,82.0,2010,7,112483764
954,The Prestige,Drama,40000000,130.0,2006,10,109676311
955,Blade: Trinity,Science Fiction,65000000,123.0,2004,12,128905366
956,Reindeer Games,Thriller,42000000,124.0,2000,2,32168970
957,Mr. Deeds,Comedy,50000000,96.0,2002,6,171269535
958,Transformers: Revenge of the Fallen,Science Fiction,150000000,150.0,2009,6,836297228
959,Cinderella Man,Romance,88000000,144.0,2005,6,108539911
960,Identity,,30000000,90.0,2003,4,90259536
961,Divergent,Adventure,85000000,139.0,2014,3,288747895
962,Kung Fu Panda 3,Action,145000000,95.0,2016,1,521170825
963,In the Name of the King: A Dungeon Siege Tale,Adventure,60000000,127.0,2007,11,0
964,The Final Destination,Horror,40000000,82.0,2009,8,186167139
965,Gridiron Gang,Action,30000000,125.0,2006,9,41480851
966,Without Limits,Drama,25000000,117.0,1998,9,777423
967,The Mummy Returns,Adventure,98000000,130.0,2001,4,433013274
968,The Fifth Estate,Drama,28000000,128.0,2013,10,8555008
969,Miracle,Drama,28000000,135.0,2004,2,64445708
970,Final Destination,Horror,23000000,98.0,2000,3,53302314
971,Midnight Run,Adventure,30000000,126.0,1988,7,38413606
972,Little White Lies,Comedy,25000000,154.0,2010,10,48531470
973,Sky Captain and the World of Tomorrow,,70000000,107.0,2004,9,57958696
974,City Hall,Drama,0,111.0,1996,2,0
975,The Village,Drama,60000000,108.0,2004,7,256697520
976,Me and Orson Welles,Comedy,25000000,114.0,2009,11,2336172
977,The Flintstones in Viva Rock Vegas,Science Fiction,83000000,90.0,2000,4,59468275
978,Poltergeist,Horror,10700000,114.0,1982,6,122200000
979,K-19: The Widowmaker,Drama,100000000,138.0,2002,7,35168966
980,Jack Ryan: Shadow Recruit,Action,60000000,105.0,2014,1,50549107
981,Get Him to the Greek,Comedy,40000000,109.0,2010,6,90029656
982,San Andreas,Action,110000000,114.0,2015,5,470490832
983,Mindhunters,,27000000,106.0,2004,5,21148829
984,The Legend of Zorro,Action,75000000,129.0,2005,10,142400065
985,Catch Me If You Can,Drama,52000000,141.0,2002,12,352114312
986,The Darkest Hour,Horror,30000000,89.0,2011,12,64626786
987,Robin Hood,Action,200000000,140.0,2010,5,310669540
988,Taken 2,Action,45000000,91.0,2012,9,376141306
989,Random Hearts,Drama,64000000,133.0,1999,10,74608570
990,The Prince of Egypt,Adventure,70000000,99.0,1998,12,218613188
991,Top Cat Begins,Comedy,8000000,89.0,2015,10,0
992,Win a Date with Tad Hamilton!,Comedy,17000000,95.0,2004,1,16980098
993,The World Is Not Enough,Adventure,135000000,128.0,1999,11,361832400
994,Primary Colors,Comedy,65000000,143.0,1998,3,0
995,Murder by Numbers,Crime,50000000,120.0,2002,4,56714147
996,ParaNorman,,60000000,90.0,2012,8,107139399
997,S.W.A.T.,Action,80000000,117.0,2003,8,116643346
998,Resident Evil: Retribution,Action,65000000,95.0,2012,9,240159255
999,The Specialist,Action,45000000,110.0,1994,10,170362582
1000,Superman Returns,adventure,270000000,154.0,2006,6,391081192
1001,Out of Sight,Romance,48000000,123.0,1998,6,77745568
1002,The Forbidden Kingdom,Action,55000000,104.0,2008,4,127906624
1003,Beauty Shop,Comedy,25000000,105.0,2005,6,36351350
1004,Star Trek IV: The Voyage Home,Science Fiction,24000000,119.0,1986,11,133000000
1005,Michael Collins,Drama,28000000,132.0,1996,10,16900000
1006,Nurse Betty,Comedy,24000000,108.0,2000,9,0
1007,The Best of Me,Drama,26000000,117.0,2014,10,35926213
1008,The Time Traveler's Wife,Drama,39000000,107.0,2009,8,101229792
1009,The Spiderwick Chronicles,Adventure,90000000,95.0,2008,2,162839667
1010,Analyze That,Comedy,60000000,96.0,2002,12,55003135
1011,Arthur Christmas,Drama,0,97.0,2011,2,0
1012,Miss Congeniality 2: Armed and Fabulous,Action,0,115.0,2005,3,0
1013,City By The Sea,Crime,40000000,108.0,2002,9,22433915
1014,Payback,Drama,90000000,100.0,1999,2,161626121
1015,Madagascar,,75000000,86.0,2005,5,532680671
1016,Pay It Forward,Drama,40000000,122.0,2000,10,55707411
1017,Men of Honor,Drama,32000000,129.0,2000,9,48814909
1018,Gods of Egypt,Fantasy,140000000,127.0,2016,2,150680864
1019,The Sisterhood of the Traveling Pants 2,Adventure,27000000,117.0,2008,8,44352417
1020,Australia,Drama,130000000,165.0,2008,11,49554002
1021,Alice Through the Looking Glass,Fantasy,170000000,113.0,2016,5,299370084
1022,Ratatouille,Animation,150000000,111.0,2007,6,623722818
1023,Daylight,Action,80000000,115.0,1996,12,159212469
1024,King's Ransom,Comedy,0,95.0,2005,4,0
1025,Wanted,Action,75000000,110.0,2008,6,258270008
1026,Mars Needs Moms,Adventure,150000000,88.0,2011,3,38992758
1027,The Omen,Horror,2800000,111.0,1976,6,60922980
1028,The Santa Clause 2,Fantasy,65000000,104.0,2002,10,172855065
1029,Four Brothers,Action,45000000,109.0,2005,8,92374674
1030,The Count of Monte Cristo,Action,35000000,131.0,2002,1,75395048
1031,The Princess Diaries 2: Royal Engagement,Comedy,40000000,113.0,2004,8,95149435
1032,A Few Good Men,Drama,40000000,138.0,1992,12,243240178
1033,Unstoppable,Action,100000000,98.0,2010,11,167805466
1034,The International,Drama,50000000,118.0,2009,2,60161391
1035,Back to the Future Part II,Adventure,40000000,108.0,1989,11,332000000
1036,Alive,Action,32000000,120.0,1993,1,36733909
1037,Radio Flyer,Drama,35000000,114.0,1992,2,4651977
1038,North Country,Drama,35000000,126.0,2005,2,25224242
1039,Hannah Montana: The Movie,Comedy,35000000,102.0,2009,4,155545279
1040,Up,Animation,175000000,96.0,2009,5,735099082
1041,Winter's Tale,Drama,60000000,118.0,2014,2,30800231
1042,In & Out,Comedy,35000000,90.0,1997,9,0
1043,Elizabeth,Drama,30000000,124.0,1998,9,82150642
1044,Hoffa,Crime,35000000,140.0,1992,12,0
1045,Charlie's Angels: Full Throttle,Action,120000000,106.0,2003,6,259175788
1046,Hotel Transylvania,Animation,85000000,91.0,2012,9,358375603
1047,Bulletproof Monk,Action,52000000,104.0,2003,3,0
1048,All the Pretty Horses,Drama,57000000,117.0,2000,12,0
1049,Domino,Action,50000000,127.0,2005,9,22944502
1050,The Last Castle,Action,72000000,131.0,2001,10,27642707
1051,102 Dalmatians,Comedy,85000000,100.0,2000,10,183611771
1052,Cradle 2 the Grave,Action,25000000,101.0,2003,2,56489558
1053,The Smurfs,Animation,110000000,103.0,2011,7,563749323
1054,Django Unchained,Drama,100000000,165.0,2012,12,425368238
1055,The Great Gatsby,Drama,105000000,143.0,2013,5,351040419
1056,Hudson Hawk,Action,65000000,100.0,1991,5,17218080
1057,We Own the Night,Drama,21000000,117.0,2007,5,54926886
1058,Mona Lisa Smile,Drama,65000000,117.0,2003,12,0
1059,Anacondas: The Hunt for the Blood Orchid,Adventure,20000000,97.0,2004,8,70992898
1060,Keeping the Faith,Comedy,30000000,127.0,2000,4,37036004
1061,Kiss of the Dragon,Action,25000000,98.0,2001,7,64437847
1062,Gravity,Science Fiction,105000000,91.0,2013,9,716392705
1063,Legends of Oz: Dorothy's Return,Animation,70000000,88.0,2013,6,18662027
1064,The Wolverine,Action,120000000,126.0,2013,7,415440673
1065,Star Trek V: The Final Frontier,Science Fiction,30000000,107.0,1989,6,70200000
1066,Pain & Gain,Thriller,25000000,130.0,2013,4,86175291
1067,United Passions,Drama,27000000,110.0,2014,6,0
1068,Speed Racer,Action,120000000,135.0,2008,5,93945766
1069,Run All Night,Action,50000000,114.0,2015,3,71561644
1070,Blast from the Past,Comedy,35000000,112.0,1999,2,40263020
1071,Alien³,Science Fiction,50000000,114.0,1992,5,159773545
1072,Cloudy with a Chance of Meatballs 2,Animation,78000000,95.0,2013,9,248384621
1073,He's Just Not That Into You,Comedy,40000000,129.0,2009,2,177259441
1074,Babe: Pig in the City,Adventure,90000000,92.0,1998,11,69131860
1075,The Last Witch Hunter,Fantasy,90000000,106.0,2015,10,146936910
1076,The Lord of the Rings: The Two Towers,Adventure,79000000,179.0,2002,12,926287400
1077,The Heat,Action,43000000,117.0,2013,6,158674180
1078,The Change-Up,Comedy,52000000,112.0,2011,8,75450437
1079,Rush Hour 3,Action,140000000,91.0,2007,8,258022233
1080,Teenage Mutant Ninja Turtles,Science Fiction,125000000,101.0,2014,8,477200000
1081,Suspect Zero,Crime,27000000,99.0,2004,8,13000000
1082,Dear John,Drama,25000000,115.0,2010,2,114977104
1083,From Paris with Love,Action,52000000,92.0,2010,2,52826594
1084,Must Love Dogs,Comedy,30000000,98.0,2005,7,58405313
1085,Bedtime Stories,Fantasy,80000000,99.0,2008,12,212874442
1086,Hairspray,,50000000,117.0,2007,7,90450008
1087,Rango,Animation,135000000,107.0,2011,3,245724603
1088,L.A. Confidential,Crime,35000000,138.0,1997,9,126216940
1089,The Hunchback of Notre Dame,Drama,100000000,91.0,1996,6,100138851
1090,D-Tox,Action,55000000,96.0,2002,1,6416302
1091,Criminal,Action,31500000,113.0,2016,4,14708696
1092,Predators,Action,40000000,107.0,2010,7,126248813
1093,The 40 Year Old Virgin,Comedy,26000000,116.0,2005,8,109449237
1094,The Phantom,Adventure,45000000,100.0,1996,6,17300889
1095,We Bought a Zoo,Drama,50000000,124.0,2011,12,120081841
1096,Elizabethtown,Comedy,57000000,123.0,2005,10,52034889
1097,Sucker Punch,Action,82000000,110.0,2011,3,89792502
1098,Pride and Glory,Thriller,30000000,130.0,2008,9,31148328
1099,Pinocchio,Animation,2600000,88.0,1940,2,84300000
1100,Medicine Man,Adventure,40000000,106.0,1992,2,0
1101,Extraordinary Measures,Drama,31000000,105.0,2010,1,15134293
1102,The Fountain,Drama,35000000,96.0,2006,9,15304890
1103,Mortdecai,Comedy,60000000,106.0,2015,1,30418560
1104,Marie Antoinette,Drama,40000000,123.0,2006,5,60474340
1105,Burn After Reading,Comedy,37000000,96.0,2008,9,163720069
1106,Happily N'Ever After,Animation,47000000,75.0,2006,9,38085778
1107,Ronin,Action,55000000,122.0,1998,9,41610884
1108,Boomerang,Comedy,40000000,117.0,1992,6,70100000
1109,The Astronaut's Wife,Drama,75000000,109.0,1999,8,19598588
1110,Immortals,Fantasy,75000000,110.0,2011,11,226904017
1111,G.I. Jane,Action,50000000,125.0,1997,8,48169156
1112,The Hangover Part II,Comedy,80000000,102.0,2011,5,254455986
1113,Surrogates,Action,80000000,89.0,2009,9,122444772
1114,Funny People,Comedy,75000000,146.0,2009,7,61458982
1115,The Sentinel,Action,60000000,108.0,2006,4,77920346
1116,Aladdin,Animation,28000000,90.0,1992,11,504050219
1117,Across the Universe,Adventure,0,133.0,2007,9,0
1118,The Reader,Drama,32000000,124.0,2008,12,113019290
1119,Wall Street: Money Never Sleeps,Drama,70000000,133.0,2010,9,134748021
1120,The Notebook,Romance,29000000,123.0,2004,6,115603229
1121,Interview with the Vampire,Horror,60000000,123.0,1994,11,223664608
1122,One for the Money,Action,40000000,91.0,2012,1,36893721
1123,Batman Returns,Action,80000000,126.0,1992,6,280000000
1124,Magnolia,Drama,37000000,188.0,1999,12,48451803
1125,Exorcist: The Beginning,Horror,80000000,114.0,2004,8,78000586
1126,Batman v Superman: Dawn of Justice,Action,250000000,151.0,2016,3,873260194
1127,Daddy Day Care,Comedy,60000000,92.0,2003,5,164433867
1128,The Bad Lieutenant: Port of Call - New Orleans,Drama,25000000,122.0,2009,9,10589102
1129,Hall Pass,Comedy,36000000,105.0,2011,2,83160734
1130,Schindler's List,Drama,22000000,195.0,1993,11,321365567
1131,The Shawshank Redemption,Drama,25000000,142.0,1994,9,28341469
1132,Fat Albert,Comedy,0,93.0,2004,12,0
1133,The Godfather: Part III,Crime,54000000,162.0,1990,12,136766062
1134,Monster-in-Law,Romance,43000000,101.0,2005,5,154749918
1135,Wild Card,Thriller,30000000,92.0,2015,1,0
1136,Notes on a Scandal,Drama,15000000,92.0,2006,12,49469904
1137,Hansel & Gretel: Witch Hunters,Fantasy,50000000,88.0,2013,1,224803475
1138,Dolphin Tale,Drama,37000000,113.0,2011,9,95404397
1139,Sherlock Holmes: A Game of Shadows,Adventure,125000000,129.0,2011,11,334615000
1140,Animals United,Animation,0,93.0,2010,10,0
1141,Here Comes the Boom,Comedy,0,105.0,2012,10,73100172
1142,Pan,Adventure,150000000,111.0,2015,9,128388320
1143,Pirates of the Caribbean: At World's End,adventure,300000000,169.0,2007,5,961000000
1144,Ghost Rider: Spirit of Vengeance,Action,57000000,95.0,2011,12,149217355
1145,The Flintstones,Fantasy,46000000,91.0,1994,5,341631208
1146,A Thousand Words,Drama,40000000,91.0,2012,3,22044277
1147,Blow,Crime,53000000,124.0,2001,4,83282296
1148,America's Sweethearts,Comedy,0,102.0,2001,7,0
1149,Queen of the Damned,Drama,35000000,101.0,2002,2,45479110
1150,The Lion King,,45000000,89.0,1994,6,788241776
1151,Bridge to Terabithia,Adventure,60000000,96.0,2007,2,137587063
1152,Mission: Impossible - Rogue Nation,Action,150000000,131.0,2015,7,682330139
1153,Fury,,68000000,135.0,2014,10,211817906
1154,Sin City: A Dame to Kill For,Crime,65000000,102.0,2014,8,39407616
1155,War of the Worlds,Adventure,132000000,116.0,2005,6,591739379
1156,Abraham Lincoln: Vampire Hunter,Action,69000000,94.0,2012,6,112265139
1157,War Horse,Drama,66000000,146.0,2011,12,177584879
1158,Perfume: The Story of a Murderer,Crime,50000000,147.0,2006,9,132180323
1159,Antz,Adventure,60000000,83.0,1998,10,171757863
1160,Percy Jackson & the Olympians: The Lightning Thief,Adventure,95000000,118.0,2010,2,226497209
1161,Tomorrowland,Adventure,190000000,130.0,2015,5,209154322
1162,Guardians of the Galaxy,Action,170000000,121.0,2014,7,773328629
1163,Dredd,Action,50000000,95.0,2012,9,41037742
1164,17 Again,Comedy,20000000,102.0,2009,3,136267476
1165,Cheaper by the Dozen 2,Comedy,60000000,94.0,2005,12,129181830
1166,The Bucket List,Drama,45000000,97.0,2007,12,175372502
1167,The Hobbit: An Unexpected Journey,Adventure,250000000,169.0,2012,11,1021103568
1168,Terminator 3: Rise of the Machines,Action,200000000,109.0,2003,7,435000000
1169,22 Jump Street,Crime,50000000,112.0,2014,6,188441614
1170,Baby's Day Out,Action,50000000,99.0,1994,7,16671505
1171,The Saint,Thriller,68000000,116.0,1997,4,118063304
1172,"Bright Lights, Big City",Drama,0,107.0,1988,4,0
1173,Speed 2: Cruise Control,Action,160000000,121.0,1997,6,164508066
1174,Cars 2,Animation,200000000,106.0,2011,6,559852396
1175,Walk Hard: The Dewey Cox Story,Comedy,35000000,96.0,2007,12,18317151
1176,Prince of Persia: The Sands of Time,Adventure,150000000,116.0,2010,5,335154643
1177,The Tale of Despereaux,Adventure,60000000,93.0,2008,12,50877145
1178,A Good Year,Comedy,35000000,118.0,2006,9,42064105
1179,The Lake House,Romance,40000000,99.0,2006,6,114830111
1180,Percy Jackson: Sea of Monsters,Adventure,90000000,106.0,2013,8,174578751
1181,Alien: Resurrection,Science Fiction,70000000,109.0,1997,11,162000000
1182,The Ridiculous 6,Comedy,60000000,119.0,2015,12,0
1183,The Nutcracker: The Untold Story,Fantasy,90000000,110.0,2010,11,16178959
1184,Snowpiercer,Action,39200000,126.0,2013,8,86758912
1185,Robin Hood: Prince of Thieves,Adventure,48000000,143.0,1991,6,390493908
1186,9,Action,30000000,79.0,2009,8,48428063
1187,The Gambler,Thriller,25000000,111.0,2014,12,39171130
1188,Independence Day,Action,75000000,145.0,1996,6,816969268
1189,Brave,Animation,185000000,93.0,2012,6,538983207
1190,The Box,Thriller,30000000,115.0,2009,9,33333531
1191,Broken Arrow,Action,50000000,108.0,1996,2,150270147
1192,Bee Movie,,150000000,91.0,2007,10,287594577
1193,The Nativity Story,Drama,35000000,101.0,2006,12,0
1194,Eragon,Fantasy,100000000,104.0,2006,12,249288105
1195,Something's Gotta Give,Drama,80000000,128.0,2003,12,266728738
1196,Mr. & Mrs. Smith,Action,110000000,120.0,2005,6,478207520
1197,Leatherheads,Comedy,58000000,114.0,2008,3,41299492
1198,Finding Nemo,Animation,94000000,100.0,2003,5,940335536
1199,Torque,Action,40000000,84.0,2004,1,46546197
1200,Lost Souls,Horror,0,97.0,2000,10,0
1201,Body of Lies,Action,70000000,128.0,2008,10,113280098
1202,On the Road,Adventure,25000000,137.0,2012,5,8784318
1203,Cloud Atlas,Drama,102000000,172.0,2012,10,130482868
1204,The Rugrats Movie,Animation,30000000,79.0,1998,11,100491683
1205,Snow White and the Huntsman,Adventure,170000000,127.0,2012,5,396600000
1206,Ocean's Thirteen,Crime,85000000,122.0,2007,6,311312624
1207,Memoirs of a Geisha,Drama,85000000,145.0,2005,12,162242962
1208,The 5th Wave,Adventure,38000000,112.0,2016,1,109906372
1209,The X Files,,66000000,121.0,1998,6,189198313
1210,Hope Springs,Drama,30000000,100.0,2012,8,114281051
1211,Osmosis Jones,Adventure,75000000,95.0,2001,8,13596911
1212,Thunderbirds,Action,57000000,95.0,2004,7,28283637
1213,Bound by Honor,Action,35000000,180.0,1993,2,0
1214,Godsend,Drama,25000000,102.0,2004,4,30114487
1215,Bicentennial Man,Comedy,100000000,131.0,1999,12,93700000
1216,The Butler,Drama,25000000,132.0,2013,8,115922175
1217,A Simple Wish,Adventure,28000000,86.0,1997,7,8345056
1218,Miss Congeniality,Comedy,45000000,111.0,2000,12,212000000
1219,Edge of Tomorrow,Action,178000000,113.0,2014,5,370541256
1220,Snow Falling on Cedars,Drama,0,127.0,1999,12,0
1221,Avengers: Age of Ultron,Action,280000000,141.0,2015,4,1405403694
1222,Babylon A.D.,Action,70000000,101.0,2008,8,72108608
1223,Zodiac,Crime,65000000,157.0,2007,3,84785914
1224,Lucy,Action,40000000,89.0,2014,7,126546825
1225,Resident Evil: Extinction,Horror,45000000,94.0,2007,9,148412065
1226,The Reaping,Horror,40000000,99.0,2007,4,62771059
1227,Jeepers Creepers 2,Horror,17000000,104.0,2003,8,63102666
1228,No Country for Old Men,Crime,25000000,122.0,2007,11,171600000
1229,The Wedding Planner,Comedy,35000000,103.0,2001,1,94728529
1230,Harry Potter and the Goblet of Fire,Adventure,150000000,157.0,2005,11,895921036
1231,Warriors of Virtue,Fantasy,0,103.0,1997,5,0
1232,The Bourne Identity,Action,60000000,119.0,2002,6,214034224
1233,The Client,Drama,45000000,119.0,1994,7,117615211
1234,Bruce Almighty,Fantasy,80000000,101.0,2003,5,484572835
1235,The Postman,Drama,80000000,177.0,1997,12,17626234
1236,G.I. Joe: The Rise of Cobra,Adventure,175000000,118.0,2009,8,302469017
1237,Mystery Men,Adventure,68000000,121.0,1999,8,29762011
1238,Cradle Will Rock,Drama,0,132.0,1999,12,0
1239,Exit Wounds,Action,50000000,101.0,2001,3,79958599
1240,Little Black Book,Comedy,35000000,111.0,2004,8,22034832
1241,Get Smart,Action,80000000,110.0,2008,6,230685453
1242,Jack the Giant Slayer,Action,195000000,114.0,2013,2,197687603
1243,Little Fockers,Comedy,100000000,98.0,2010,12,310650585
1244,Lords of Dogtown,Drama,25000000,107.0,2005,6,13411957
1245,Cry Freedom,Drama,0,157.0,1987,11,0
1246,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,155000000,113.0,2010,8,415686217
1247,Sgt. Bilko,Comedy,0,90.0,1996,3,0
1248,The Order,Drama,35000000,102.0,2003,9,11560806
1249,The Messenger: The Story of Joan of Arc,Adventure,60000000,148.0,1999,10,66976317
1250,Clear and Present Danger,Action,62000000,141.0,1994,8,215887717
1251,The Magic Flute,Comedy,0,133.0,2006,9,0
1252,Reds,Drama,32000000,195.0,1981,12,40382659
1253,Evita,,55000000,134.0,1996,12,141047179
1254,The Medallion,Thriller,41000000,88.0,2003,8,0
1255,The Devil Wears Prada,Comedy,35000000,109.0,2006,6,326551094
1256,Curious George,Adventure,50000000,86.0,2006,2,69834815
1257,American Wedding,Comedy,55000000,103.0,2003,8,231449203
1258,Maid in Manhattan,Comedy,55000000,105.0,2002,12,154906693
1259,The Young and Prodigious T.S. Spivet,Adventure,33000000,105.0,2013,10,9494789
1260,Flyboys,Action,60000000,140.0,2006,9,17800000
1261,Firewall,Thriller,45000000,105.0,2006,2,82800000
1262,We're the Millers,Comedy,37000000,110.0,2013,8,269994119
1263,Kundun,Drama,28000000,134.0,1997,12,5684789
1264,Hotel Transylvania 2,Animation,80000000,89.0,2015,9,473226958
1265,The Alamo,,145000000,137.0,2004,4,25819961
1266,The Scarlet Letter,Drama,50000000,135.0,1995,10,10382407
1267,Runaway Bride,Comedy,70000000,116.0,1999,7,309457509
1268,How to Train Your Dragon,Fantasy,165000000,98.0,2010,3,494878759
1269,Elysium,Science Fiction,115000000,109.0,2013,8,286140700
1270,Nixon,,44000000,192.0,1995,12,13681765
1271,Astro Boy,Animation,65000000,94.0,2009,10,44091067
1272,Wild Hogs,Action,0,100.0,2007,3,253625427
1273,Patch Adams,Comedy,50000000,115.0,1998,12,202292902
1274,Star Trek VI: The Undiscovered Country,Science Fiction,27000000,113.0,1991,12,96900000
1275,How Do You Know,Comedy,120000000,121.0,2010,12,48668907
1276,Spy Kids 2: The Island of Lost Dreams,Action,38000000,100.0,2002,8,119723358
1277,Lost in Space,Adventure,80000000,130.0,1998,4,136159423
1278,Star Trek,Science Fiction,150000000,127.0,2009,5,385680446
1279,Little Shop of Horrors,Horror,25000000,94.0,1986,12,38748395
1280,License to Wed,Comedy,35000000,91.0,2007,7,69307224
1281,The Hunger Games: Mockingjay - Part 1,Science Fiction,125000000,123.0,2014,11,752100229
1282,Blue Streak,Action,65000000,93.0,1999,9,117758500
1283,Sicario,Action,30000000,121.0,2015,9,84025816
1284,How to Train Your Dragon 2,Fantasy,145000000,102.0,2014,6,609123048
1285,Where the Truth Lies,Drama,25000000,107.0,2005,10,0
1286,Florence Foster Jenkins,Comedy,29000000,110.0,2016,5,48902953
1287,The Kingdom,Thriller,70000000,110.0,2007,8,86658558
1288,RoboCop,Action,120000000,102.0,2014,1,242688965
1289,Blood and Wine,Crime,26000000,101.0,1996,10,0
1290,The Incredibles,Action,92000000,115.0,2004,11,631442092
1291,Legion,Horror,26000000,100.0,2010,1,67918658
1292,Get Rich or Die Tryin',Drama,40000000,117.0,2005,11,46442528
1293,Ice Age,Animation,59000000,81.0,2002,3,383257136
1294,The River Wild,Action,45000000,111.0,1994,9,0
1295,Oblivion,Action,120000000,124.0,2013,4,286168572
1296,The Mexican,Action,57000000,123.0,2001,3,147845033
1297,Last Action Hero,Adventure,85000000,130.0,1993,6,137298489
1298,Meet Joe Black,Fantasy,90000000,178.0,1998,11,142940100
1299,The Time Machine,Science Fiction,80000000,96.0,2002,3,123729176
1300,28 Days,Comedy,43000000,103.0,2000,4,0
1301,In Dreams,Drama,0,100.0,1999,1,0
1302,Treasure Planet,Adventure,140000000,95.0,2002,11,109578115
1303,Despicable Me 2,Animation,76000000,98.0,2013,6,970761885
1304,Rocky Balboa,Drama,24000000,102.0,2006,12,155721132
1305,Jack and Jill,Comedy,79000000,91.0,2011,11,149673788
1306,Ali,Drama,107000000,157.0,2001,12,87713825
1307,Toy Story 3,Animation,200000000,103.0,2010,6,1066969703
1308,Red Cliff,Adventure,80341000,150.0,2008,7,127814609
1309,The League of Extraordinary Gentlemen,Fantasy,78000000,110.0,2003,7,179265204
1310,Minions,,74000000,91.0,2015,6,1156730962
1311,Shallow Hal,Comedy,40000000,114.0,2001,11,141069860
1312,Pandorum,Action,33000000,108.0,2009,9,20645327
1313,Draft Day,Drama,25000000,109.0,2014,4,28831145
1314,Mission: Impossible,Adventure,80000000,110.0,1996,5,457696359
